id;state;year;legal
35;New Mexico;2017;No
36;New York;2017;No
37;North Carolina;2017;No
38;North Dakota;2017;No
39;Ohio;2017;No
40;Oklahoma;2017;No
41;Oregon;2017;Yes
42;Pennsylvania;2017;No
44;Rhode Island;2017;No
45;South Carolina;2017;No
46;South Dakota;2017;No
47;Tennessee;2017;No
48;Texas;2017;No
49;Utah;2017;No
50;Vermont;2017;No
51;Virginia;2017;No
53;Washington;2017;Yes
54;West Virginia;2017;No
55;Wisconsin;2017;No
56;Wyoming;2017;No
1;Alabama;2018;No
2;Alaska;2018;Yes
4;Arizona;2018;No
5;Arkansas;2018;No
6;California;2018;Yes
8;Colorado;2018;Yes
9;Connecticut;2018;No
10;Delaware;2018;No
12;Florida;2018;No
13;Georgia;2018;No
15;Hawaii;2018;No
16;Idaho;2018;No
17;Illinois;2018;No
18;Indiana;2018;No
19;Iowa;2018;No
20;Kansas;2018;No
21;Kentucky;2018;No
22;Louisiana;2018;No
23;Maine;2018;Yes
24;Maryland;2018;No
25;Massachusetts;2018;Yes
26;Michigan;2018;Yes
27;Minnesota;2018;No
28;Mississippi;2018;No
29;Missouri;2018;No
30;Montana;2018;No
31;Nebraska;2018;No
32;Nevada;2018;Yes
33;New Hampshire;2018;No
34;New Jersey;2018;No
35;New Mexico;2018;No
36;New York;2018;No
37;North Carolina;2018;No
38;North Dakota;2018;No
39;Ohio;2018;No
40;Oklahoma;2018;No
41;Oregon;2018;Yes
42;Pennsylvania;2018;No
44;Rhode Island;2018;No
45;South Carolina;2018;No
46;South Dakota;2018;No
47;Tennessee;2018;No
48;Texas;2018;No
49;Utah;2018;No
50;Vermont;2018;Yes
51;Virginia;2018;No
53;Washington;2018;Yes
54;West Virginia;2018;No
55;Wisconsin;2018;No
56;Wyoming;2018;No
1;Alabama;2019;No
2;Alaska;2019;Yes
4;Arizona;2019;No
5;Arkansas;2019;No
6;California;2019;Yes
8;Colorado;2019;Yes
9;Connecticut;2019;No
10;Delaware;2019;No
12;Florida;2019;No
13;Georgia;2019;No
15;Hawaii;2019;No
16;Idaho;2019;No
17;Illinois;2019;Yes
18;Indiana;2019;No
19;Iowa;2019;No
20;Kansas;2019;No
21;Kentucky;2019;No
22;Louisiana;2019;No
23;Maine;2019;Yes
24;Maryland;2019;No
25;Massachusetts;2019;Yes
26;Michigan;2019;Yes
27;Minnesota;2019;No
28;Mississippi;2019;No
29;Missouri;2019;No
30;Montana;2019;No
31;Nebraska;2019;No
32;Nevada;2019;Yes
33;New Hampshire;2019;No
34;New Jersey;2019;No
35;New Mexico;2019;No
36;New York;2019;No
37;North Carolina;2019;No
38;North Dakota;2019;No
39;Ohio;2019;No
40;Oklahoma;2019;No
41;Oregon;2019;Yes
42;Pennsylvania;2019;No
44;Rhode Island;2019;No
45;South Carolina;2019;No
46;South Dakota;2019;No
47;Tennessee;2019;No
48;Texas;2019;No
49;Utah;2019;No
50;Vermont;2019;Yes
51;Virginia;2019;No
53;Washington;2019;Yes
54;West Virginia;2019;No
55;Wisconsin;2019;No
56;Wyoming;2019;No
1;Alabama;2020;No
2;Alaska;2020;Yes
4;Arizona;2020;Yes
5;Arkansas;2020;No
6;California;2020;Yes
8;Colorado;2020;Yes
9;Connecticut;2020;No
10;Delaware;2020;No
12;Florida;2020;No
13;Georgia;2020;No
15;Hawaii;2020;No
16;Idaho;2020;No
17;Illinois;2020;Yes
18;Indiana;2020;No
19;Iowa;2020;No
20;Kansas;2020;No
21;Kentucky;2020;No
22;Louisiana;2020;No
23;Maine;2020;Yes
24;Maryland;2020;No
25;Massachusetts;2020;Yes
26;Michigan;2020;Yes
27;Minnesota;2020;No
28;Mississippi;2020;No
29;Missouri;2020;No
30;Montana;2020;Yes
31;Nebraska;2020;No
32;Nevada;2020;Yes
33;New Hampshire;2020;No
34;New Jersey;2020;Yes
35;New Mexico;2020;No
36;New York;2020;No
37;North Carolina;2020;No
38;North Dakota;2020;No
39;Ohio;2020;No
40;Oklahoma;2020;No
41;Oregon;2020;Yes
42;Pennsylvania;2020;No
44;Rhode Island;2020;No
45;South Carolina;2020;No
46;South Dakota;2020;No
47;Tennessee;2020;No
48;Texas;2020;No
49;Utah;2020;No
50;Vermont;2020;Yes
51;Virginia;2020;No
53;Washington;2020;Yes
54;West Virginia;2020;No
55;Wisconsin;2020;No
56;Wyoming;2020;No
1;Alabama;2021;No
2;Alaska;2021;Yes
4;Arizona;2021;Yes
5;Arkansas;2021;No
6;California;2021;Yes
8;Colorado;2021;Yes
9;Connecticut;2021;Yes
10;Delaware;2021;No
12;Florida;2021;No
13;Georgia;2021;No
15;Hawaii;2021;No
16;Idaho;2021;No
17;Illinois;2021;Yes
18;Indiana;2021;No
19;Iowa;2021;No
20;Kansas;2021;No
21;Kentucky;2021;No
22;Louisiana;2021;No
23;Maine;2021;Yes
24;Maryland;2021;No
25;Massachusetts;2021;Yes
